Isolate,Study,Year,ST,Donor,Location
fM16a,This study,2024,38,Community,Nsanje District (rural)
cS132a,This study,2023,38,Community,Mangochi District (rural)
cS162a,This study,2023,38,Community,Mangochi District (rural)
cS172a,This study,2023,38,Community,Mangochi District (rural)
cS178a,This study,2023,38,Community,Mangochi District (rural)
cS51a,This study,2023,38,Community,Mangochi District (rural)
cS72c,This study,2023,38,Community,Mangochi District (rural)
cS83a,This study,2023,38,Community,Mangochi District (rural)
fS10a,This study,2024,38,Community,Mangochi District (rural)
fS11a,This study,2024,38,Community,Mangochi District (rural)
fS12a,This study,2024,38,Community,Mangochi District (rural)
fS13a,This study,2024,38,Community,Mangochi District (rural)
fS37a,This study,2024,38,Community,Mangochi District (rural)
fS39a,This study,2024,38,Community,Mangochi District (rural)
fS41a,This study,2024,38,Community,Mangochi District (rural)
fS46a,This study,2024,38,Community,Mangochi District (rural)
fS62a,This study,2024,38,Community,Mangochi District (rural)
fS63b,This study,2024,38,Community,Mangochi District (rural)
fS64a,This study,2024,38,Community,Mangochi District (rural)
fS74a,This study,2024,38,Community,Mangochi District (rural)
fS93a,This study,2024,38,Community,Mangochi District (rural)
fS97a,This study,2024,38,Community,Mangochi District (rural)
fS99a,This study,2024,38,Community,Mangochi District (rural)
ERR10548468,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10548828,Musicha et al.,2019,38,Community,Blantyre (urban)
ERR10548867,Musicha et al.,2019,38,Community,Blantyre (urban)
ERR10686436,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10686490,Musicha et al.,2019,38,Community,Blantyre (urban)
ERR10686498,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10766445,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10766460,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10766496,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10766533,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10766635,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10766804,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10767005,Musicha et al.,2019,38,Community,Blantyre (urban)
ERR10767194,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10767195,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10767210,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10767359,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10767435,Musicha et al.,2020,38,Community,Blantyre (urban)
ERR10767721,Musicha et al.,2019,38,Community,Blantyre (urban)
ERR10767776,Musicha et al.,2019,38,Community,Blantyre (urban)
ERR3425981,Lewis et al.,2017,38,Recent hospital discharge,Blantyre (urban)
ERR3426066,Lewis et al.,2017,38,Recent hospital discharge,Blantyre (urban)
ERR3865258,Lewis et al.,2017,38,Community,Blantyre (urban)
ERR3865293,Lewis et al.,2017,38,Community,Blantyre (urban)
ERR3865295,Lewis et al.,2017,38,Community,Blantyre (urban)
ERR3865303,Lewis et al.,2018,38,Recent hospital discharge,Blantyre (urban)
ERR3865323,Lewis et al.,2017,38,Recent hospital discharge,Blantyre (urban)
ERR3865329,Lewis et al.,2017,38,Hospital inpatient,Blantyre (urban)
ERR3865370,Lewis et al.,2018,38,Community,Blantyre (urban)
ERR3865442,Lewis et al.,2018,38,Recent hospital discharge,Blantyre (urban)
ERR3865445,Lewis et al.,2018,38,Recent hospital discharge,Blantyre (urban)
ERR3865447,Lewis et al.,2018,38,Hospital inpatient,Blantyre (urban)
ERR3865518,Lewis et al.,2018,38,Recent hospital discharge,Blantyre (urban)
ERR3865537,Lewis et al.,2018,38,Recent hospital discharge,Blantyre (urban)
ERR3865576,Lewis et al.,2018,38,Community,Blantyre (urban)
ERR3865577,Lewis et al.,2018,38,Recent hospital discharge,Blantyre (urban)
