cluster,ST,popPUNK_cluster,household,district,year,households_per_location_year
ST206_popPUNK41_1328,206,41_1328,M.1.ADI,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.1.ADK,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.2.AEJ,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.2.AEQ,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.2.AFN,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.5.AFY,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.5.AFZ,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.6.AJA,Nsanje,2023,9
ST206_popPUNK41_1328,206,41_1328,M.8.AHN,Nsanje,2023,9
ST1015_popPUNK11,1015,11,M.5.AFY,Nsanje,2024,4
ST1015_popPUNK11,1015,11,M.6.AHX,Nsanje,2024,4
ST1015_popPUNK11,1015,11,M.6.AJW,Nsanje,2024,4
ST1015_popPUNK11,1015,11,M.6.AKA,Nsanje,2024,4
ST10_popPUNK92,10,92,M.2.AEQ,Nsanje,2023,3
ST10_popPUNK92,10,92,M.6.AHX,Nsanje,2023,3
ST10_popPUNK92,10,92,M.6.AIG,Nsanje,2023,3
ST167_popPUNK5,167,5,M.2.AFN,Nsanje,2024,2
ST167_popPUNK5,167,5,M.5.AGA,Nsanje,2024,2
ST5909_popPUNK46,5909,46,M.5.AGC,Nsanje,2024,2
ST5909_popPUNK46,5909,46,M.8.AHN,Nsanje,2024,2
ST206_popPUNK41_1328,206,41_1328,M.5.AGB,Nsanje,2024,2
ST206_popPUNK41_1328,206,41_1328,M.6.AKA,Nsanje,2024,2
ST167_popPUNK5,167,5,M.8.AHN,Nsanje,2023,1
ST73_popPUNK8,73,8,M.6.AHX,Nsanje,2023,1
ST58_popPUNK11,58,11,M.2.AFN,Nsanje,2023,1
ST38_popPUNK20,38,20,M.3.AAE,Nsanje,2024,1
ST648_popPUNK31,31,648,M.6.AIG,Nsanje,2023,1
ST6359_popPUNK60,6359,60,M.5.AGL,Nsanje,2024,1
ST443_popPUNK61,443,61,M.5.AGL,Nsanje,2024,1
ST1421_popPUNK62,1421,62,M.5.AGB,Nsanje,2024,1
