,cM10a,cM12a,cM19a,cM20a,cM2a,cM34a,cM35a,cM3a,cM41a,cM42a,cM42b,cM44b,cM59a,cM59b,cM5a,cM7b,cM8a,cM9b,cS100a,cS103a,cS104a,cS107a,cS108a,cS109a,cS10a,cS113a,cS115a,cS116a,cS11a,cS129a,cS132a,cS142a,cS153a,cS157a,cS15a,cS162a,cS164a,cS165a,cS168a,cS172a,cS178a,cS184a,cS27b,cS28a,cS30a,cS33a,cS35a,cS37a,cS39c,cS45a,cS46a,cS4a,cS51a,cS53a,cS58a,cS60a,cS61a,cS63a,cS65a,cS66a,cS68a,cS6a,cS71a,cS71b,cS72c,cS76a,cS80a,cS83a,cS86a,cS86b,cS87a,cS88a,cS8b,cS91a,cS97a,cS99a,fM10a,fM16a,fM19a,fM21a,fM23b,fM24a,fM27b,fM29a,fM30a,fM31a,fM35a,fM40a,fM41b,fM48a,fM51a,fM54a,fM59a,fM60a,fS100a,fS101a,fS102a,fS10a,fS111a,fS117a,fS11a,fS121a,fS122a,fS128a,fS12a,fS133b,fS139a,fS13a,fS143a,fS144a,fS146a,fS148a,fS149a,fS14a,fS155a,fS157a,fS158a,fS159a,fS165a,fS170a,fS171a,fS174a,fS177a,fS190a,fS191a,fS24a,fS25a,fS34a,fS35a,fS37a,fS39a,fS41a,fS42a,fS46a,fS4a,fS50a,fS54a,fS56a,fS58a,fS62a,fS63b,fS64a,fS6a,fS70a,fS72b,fS73a,fS74a,fS79a,fS80a,fS81a,fS83a,fS84a,fS85a,fS86a,fS92a,fS93a,fS95a,fS97a,fS99a
cM10a,100.0,98.352112,98.364723,98.356117,98.368645,98.284531,96.649178,98.353973,97.071579,97.0355,98.240822,98.366806,98.339584,98.382408,98.381325,98.344116,98.268356,98.238235,98.458817,96.858383,96.814896,99.499924,98.991058,98.984207,98.318634,98.30719,99.525116,97.169754,98.298218,99.048111,97.331772,98.98941,97.069412,98.956085,96.885986,97.275108,98.981049,97.166595,96.746773,97.299911,97.256912,99.483093,99.507172,98.333038,99.521049,99.510422,96.763512,98.963684,98.600945,96.746124,98.136017,98.285667,97.290924,96.79216,98.425591,98.567131,96.811523,96.80896,98.556686,98.54464,98.530655,98.96315,98.430161,98.098877,97.224762,98.564285,96.765656,97.294868,96.787605,96.730118,98.298561,98.314888,98.980598,96.746063,98.960175,98.283722,98.375397,97.268799,99.469673,98.330414,98.368225,98.384018,98.333931,98.811249,97.105942,98.187271,99.522568,96.827415,96.788467,99.451691,99.462059,98.363426,98.321045,98.329636,98.240555,97.019745,97.021156,97.184952,98.130852,96.872116,97.200836,98.901001,97.228081,97.24128,97.16893,99.003616,98.155434,97.171936,98.867905,98.921646,98.894241,98.21907,98.202637,98.286896,98.250359,98.958817,98.262985,98.253578,98.937553,98.950134,98.926292,98.272888,98.268234,98.306564,99.628525,98.930069,98.249275,98.892899,98.096985,97.175865,97.195511,97.160484,98.175461,97.201569,98.884819,99.643661,99.60881,99.490692,98.933868,97.184708,97.187302,97.191551,98.201767,98.891754,99.629753,99.618042,97.206848,99.64949,98.284134,99.629471,96.883896,99.458862,96.801804,96.780426,96.847488,97.165054,98.270241,97.175385,97.209053
cM12a,98.352112,100.0,99.981659,99.989777,99.989929,98.9963,96.745377,99.992668,97.070442,97.058792,99.000359,99.990112,99.042358,99.980492,99.989716,99.971855,98.997902,99.010437,99.14978,96.827614,96.779434,98.418304,98.472687,98.46225,99.027206,98.758759,98.413025,97.229095,99.052475,98.481644,97.261322,98.44072,97.164093,98.469315,96.807823,97.249985,98.485474,97.182037,96.830429,97.27243,97.243332,98.399277,98.414368,99.992447,98.403656,98.405685,96.851135,98.487091,98.861649,96.834457,99.053947,98.862747,97.266739,96.763184,99.115944,98.885277,96.819931,96.812691,98.877129,98.878487,98.88089,98.439835,99.136246,99.080933,97.242188,98.877747,96.816185,97.258026,96.751968,96.694901,99.942047,99.96682,98.438873,96.823029,98.426796,98.757988,99.081963,97.244339,98.412338,99.072586,99.992218,98.837387,99.056618,98.374916,97.230255,98.678566,98.401207,96.840942,96.859055,98.422607,98.395523,99.989349,99.057274,99.039856,99.0634,97.212357,97.137222,97.183281,98.698318,96.79641,97.213013,98.43248,97.190971,97.200073,97.212311,98.498016,99.002289,97.188171,98.451279,98.458176,98.415359,98.682777,99.008392,99.048065,98.934311,98.441856,99.014969,99.009819,98.440811,98.452179,98.426224,99.072067,99.041817,99.099525,98.41803,98.456734,99.042114,98.46936,98.645737,97.203621,97.193542,97.221512,98.696678,97.187668,98.428925,98.405396,98.407883,98.354523,98.450958,97.195381,97.189163,97.21109,99.042313,98.445389,98.428772,98.411217,97.214584,98.437714,99.05024,98.411758,96.709961,98.370338,96.776886,96.779572,96.838028,97.201752,99.049278,97.19371,97.213196
cM19a,98.364723,99.981659,100.0,99.992958,99.991104,98.979889,96.731049,99.988403,97.088562,97.0765,98.978638,99.989075,99.015533,99.970741,99.980423,99.993813,98.998032,99.005798,99.125107,96.830338,96.751289,98.456253,98.476746,98.466827,98.988571,98.702255,98.439804,97.225128,99.02739,98.485596,97.238876,98.417923,97.142006,98.425774,96.795822,97.255722,98.48703,97.182228,96.789909,97.247726,97.258522,98.420197,98.426651,99.991882,98.42411,98.436058,96.79924,98.467422,98.850998,96.748177,99.025391,98.84256,97.234161,96.786606,99.110474,98.855942,96.789368,96.811676,98.841835,98.866318,98.845062,98.408066,99.11013,99.047531,97.264465,98.852242,96.776993,97.249199,96.760284,96.669724,99.953667,99.966507,98.406128,96.779076,98.403152,98.721107,99.024017,97.247833,98.424484,99.022949,99.977966,98.844429,99.069763,98.374817,97.239738,98.681862,98.403427,96.810188,96.809753,98.443069,98.402077,99.974365,99.065445,99.080597,99.009918,97.171181,97.174179,97.195404,98.698776,96.807686,97.186096,98.409294,97.212608,97.161652,97.186752,98.513962,98.981735,97.169571,98.43174,98.405945,98.389328,98.632645,98.988411,99.031647,98.882263,98.428162,99.010666,99.010773,98.421692,98.434097,98.402863,99.031662,99.026489,99.101303,98.374542,98.459091,99.006439,98.418869,98.644806,97.197693,97.170624,97.204742,98.674767,97.174652,98.409714,98.37262,98.376678,98.378342,98.429955,97.184517,97.176743,97.214752,99.008339,98.413452,98.391968,98.383743,97.172981,98.398453,99.010689,98.372803,96.704285,98.370956,96.732819,96.72905,96.829544,97.163155,99.032936,97.172607,97.168015
cM20a,98.356117,99.989777,99.992958,100.0,99.992889,98.950768,96.721283,99.994041,97.058868,97.041077,98.95047,99.994904,98.996918,99.988739,99.990265,99.980919,98.961182,98.957901,99.082085,96.822906,96.777275,98.414101,98.418533,98.418961,98.971512,98.692146,98.419975,97.239578,98.992393,98.443161,97.215836,98.407738,97.098419,98.420517,96.778542,97.234253,98.440186,97.204071,96.788727,97.236465,97.214767,98.40406,98.443573,99.985374,98.399773,98.413628,96.790588,98.457428,98.801811,96.789627,99.059547,98.827042,97.216171,96.783005,99.086937,98.847321,96.800995,96.850403,98.831116,98.825905,98.830521,98.394867,99.08374,99.060181,97.21376,98.795593,96.781242,97.241028,96.681549,96.668945,99.940689,99.967529,98.428406,96.786377,98.388023,98.667015,99.011269,97.202606,98.396515,99.008842,99.975677,98.822113,99.037659,98.281975,97.351242,98.644348,98.393211,96.803314,96.810867,98.41423,98.402527,99.976456,99.032448,99.08654,98.97406,97.05513,97.161011,97.160477,98.668518,96.790192,97.151146,98.373459,97.146507,97.236748,97.12645,98.513397,98.938293,97.124069,98.365845,98.409225,98.369171,98.608437,98.94149,98.978531,98.863197,98.39949,98.980484,98.95784,98.384018,98.403992,98.360672,99.004745,98.969513,99.07254,98.371956,98.430634,98.988976,98.406494,98.594635,97.130791,97.13829,97.153778,98.622711,97.145233,98.376953,98.351868,98.36586,98.337723,98.398788,97.130554,97.144279,97.154953,98.930878,98.394119,98.374695,98.343193,97.14637,98.368561,98.99279,98.358398,96.684898,98.356049,96.739822,96.731033,96.85643,97.143547,99.011597,97.133347,97.138641
cM2a,98.368645,99.989929,99.991104,99.992889,100.0,98.966492,96.726028,99.996155,97.057663,97.027359,98.955048,99.993538,98.991226,99.985542,99.988815,99.982239,98.982346,99.003105,99.107208,96.846283,96.775955,98.439575,98.46907,98.466927,99.002647,98.711319,98.436523,97.223572,99.018204,98.489662,97.204391,98.388824,97.118515,98.418655,96.818726,97.206696,98.478287,97.178253,96.810959,97.209885,97.199539,98.409492,98.417755,99.994034,98.410782,98.435211,96.802139,98.469093,98.843094,96.797516,99.058052,98.832886,97.184669,96.786957,99.10997,98.848907,96.80323,96.833603,98.84127,98.855957,98.843307,98.387901,99.105728,99.057739,97.189049,98.843048,96.793121,97.227409,96.741386,96.674561,99.95015,99.974274,98.397583,96.788116,98.388725,98.704071,99.043564,97.201248,98.43502,99.008995,99.977798,98.868202,99.055466,98.329834,97.258354,98.667114,98.388367,96.801285,96.819214,98.402222,98.404633,99.9758,99.050308,99.070175,99.001617,97.200706,97.166061,97.168228,98.697403,96.808006,97.149757,98.396614,97.15976,97.105988,97.15358,98.518631,98.975769,97.119301,98.411697,98.398354,98.413742,98.645622,98.971794,98.990906,98.868988,98.443085,99.011391,98.976357,98.400909,98.422752,98.394135,99.026108,98.97374,99.107407,98.367661,98.47113,98.984375,98.412216,98.627075,97.14859,97.167442,97.158966,98.680832,97.172279,98.386063,98.343994,98.356644,98.353363,98.424026,97.132217,97.129326,97.154144,98.980103,98.411163,98.36171,98.352051,97.168167,98.355835,98.985344,98.370934,96.727776,98.349823,96.75,96.774139,96.864182,97.127182,99.005707,97.122742,97.157181
cM34a,98.284531,98.9963,98.979889,98.950768,98.966492,100.0,96.525131,98.962181,97.014008,97.071075,99.994751,98.977203,99.187729,98.994926,98.917572,98.972305,99.99649,99.993797,99.163475,96.747986,96.698997,98.271339,98.232964,98.219437,99.164803,98.662766,98.282959,97.100464,99.118408,98.281342,96.961349,98.184105,96.997063,98.143745,96.745773,97.007782,98.216278,97.123055,96.632828,96.979958,96.983513,98.283127,98.259048,98.961502,98.290054,98.283012,96.698051,98.250854,98.880646,96.70108,98.566086,98.471436,96.996574,96.671753,99.142929,98.823181,96.688278,96.702774,98.828003,98.814377,98.795242,98.18084,99.143791,98.64959,96.994431,98.909172,96.610008,96.991386,96.598724,96.643021,98.972298,98.977448,98.18866,96.625305,98.238785,98.650208,99.190506,96.958229,98.269989,99.173767,98.985519,98.729736,99.165398,98.210861,97.115356,98.833405,98.274734,96.698685,96.717873,98.266296,98.238693,98.992783,99.14801,99.14846,98.737724,96.725952,96.866562,97.069992,98.676552,96.740479,97.071411,98.263977,97.048111,97.097488,97.051086,98.383102,99.057976,97.064911,98.243439,98.146088,98.18885,98.593033,99.05864,98.734833,98.751495,98.244629,99.993103,99.991486,98.275177,98.28009,98.282425,98.714386,98.739868,99.40477,98.16584,98.118362,98.689262,98.167404,98.766663,97.030258,97.055603,97.077675,98.74192,97.037743,98.164062,98.18058,98.175659,98.331543,98.289368,97.048424,97.078964,97.049561,99.015213,98.149452,98.174797,98.175385,97.013107,98.174202,98.76207,98.143219,96.73201,98.326508,96.732025,96.721085,96.720795,97.02018,98.714844,97.015526,97.039368
cM35a,96.649178,96.745377,96.731049,96.721283,96.726028,96.525131,100.0,96.728363,97.131767,97.16716,96.514343,96.731537,96.587448,96.765808,96.736618,96.709785,96.53257,96.52948,96.689728,98.390289,98.325455,96.644653,96.748604,96.713013,96.591858,96.59623,96.638474,97.206284,96.615112,96.703445,96.78997,96.564545,96.678482,96.570526,98.393089,96.81102,96.708115,97.176994,98.38736,96.780426,96.826584,96.65712,96.722809,96.689819,96.706253,96.724182,98.363846,96.682693,96.635071,98.464409,96.50238,96.61142,96.77478,98.352287,96.658134,96.647583,98.357544,98.345108,96.625664,96.636642,96.665649,96.557648,96.649162,96.562225,96.775635,96.652214,98.342331,96.80423,98.598862,98.350372,96.751236,96.727554,96.578537,98.408524,96.576965,96.579742,96.652252,96.796326,96.694794,96.639786,96.706039,96.752571,96.742958,96.590096,97.144798,96.736633,96.701187,98.494736,98.485092,96.660973,96.6707,96.744949,96.770096,96.682129,96.717728,96.533493,97.016586,96.630829,96.644653,98.379761,96.606476,96.664474,97.017426,96.770065,96.622826,96.701691,96.558472,96.649567,96.673798,96.507874,96.49794,96.646561,96.507217,96.756851,96.745834,96.568954,96.532181,96.519821,96.607529,96.579659,96.570526,96.766785,96.744972,96.66095,96.598648,96.579163,96.725067,96.502533,96.766457,96.672798,96.657227,96.658577,96.691162,96.651131,96.53656,96.627777,96.6035,96.666039,96.580681,96.662537,96.624359,96.667435,96.54335,96.536438,96.629219,96.628227,96.656433,96.619293,96.69873,96.598846,98.324554,96.710861,98.322182,98.317001,98.375519,96.681435,96.74205,96.605026,96.646378
cM3a,98.353973,99.992668,99.988403,99.994041,99.996155,98.962181,96.728363,100.0,97.02594,97.031036,98.949844,99.991379,98.997787,99.981369,99.98996,99.97673,98.965988,98.988266,99.088928,96.84166,96.762009,98.430664,98.466553,98.455475,98.990265,98.682137,98.438095,97.211929,99.025513,98.476547,97.207191,98.390068,97.070343,98.431183,96.807709,97.213081,98.474548,97.143616,96.821304,97.228828,97.209946,98.388931,98.394638,99.994904,98.419464,98.411766,96.811081,98.46756,98.832886,96.802826,99.04274,98.769852,97.1931,96.781387,99.094131,98.858948,96.811249,96.816879,98.844849,98.852356,98.852928,98.403664,99.083832,99.065567,97.21476,98.843124,96.787659,97.195435,96.751556,96.666534,99.944962,99.97123,98.40625,96.811691,98.381165,98.689331,99.026634,97.215889,98.447678,99.009964,99.977165,98.806168,99.04734,98.3629,97.259064,98.648605,98.371536,96.80896,96.823715,98.405128,98.372498,99.978256,99.032166,99.05574,98.991913,97.177994,97.160736,97.181488,98.676285,96.813461,97.174431,98.39608,97.145248,97.166489,97.165314,98.50248,98.967819,97.137733,98.424744,98.419144,98.389046,98.622559,98.974564,98.995148,98.861938,98.422348,98.989471,98.976654,98.409073,98.427734,98.392723,99.023392,98.997482,99.079819,98.364655,98.455406,98.98941,98.41214,98.627151,97.175507,97.175674,97.158585,98.645615,97.166199,98.385361,98.348358,98.336487,98.331123,98.423615,97.154778,97.177963,97.172447,98.977402,98.403458,98.364883,98.373383,97.18235,98.3685,99.000397,98.360352,96.681229,98.325676,96.741951,96.749023,96.859756,97.164421,98.99173,97.145889,97.173462
cM41a,97.071579,97.070442,97.088562,97.058868,97.057663,97.014008,97.131767,97.02594,100.0,99.995049,97.030716,97.059196,97.150284,97.059784,97.061569,97.07338,97.048615,97.036575,97.062851,97.273422,97.225082,97.066566,97.088257,97.079544,97.075089,97.119522,97.101143,98.2677,97.038116,97.118637,97.530136,97.032082,97.298553,97.005447,97.248573,97.528641,97.086304,98.253326,97.140671,97.503586,97.509903,97.054932,97.038155,97.060143,97.075317,97.055855,97.249329,97.098236,97.094872,97.213486,96.90126,97.021652,97.540451,97.250229,97.022049,97.077972,97.243713,97.240685,97.113678,97.089455,97.085091,97.028625,97.030052,96.923584,97.492676,97.094368,97.137573,97.509758,97.15062,97.297417,97.078285,97.054939,97.049835,97.145317,97.032349,97.097855,97.135422,97.554657,97.08577,97.093918,97.046875,97.134293,97.137909,97.088455,98.216888,97.198769,97.064095,97.210457,97.220253,97.074387,97.055679,97.059631,97.171722,97.136917,97.096802,97.070419,98.847748,97.415497,97.168755,97.280052,97.430298,97.075272,99.492249,97.58963,97.36911,97.132652,97.007187,97.406235,97.087151,97.00412,97.010406,97.202682,97.038849,97.113045,97.091743,97.077812,97.020477,97.001968,97.087883,97.043442,97.039215,97.08065,97.088058,97.047829,97.122849,97.023254,97.083755,96.999367,97.262482,97.419815,97.414612,97.399216,97.17408,97.415573,97.002876,97.125168,97.11451,97.139877,97.072342,97.42691,97.420105,97.420135,96.988083,97.013062,97.103012,97.10173,97.392288,97.078087,97.043518,97.086792,97.262192,97.124283,97.203285,97.240952,97.240036,97.382309,97.058838,97.418221,97.376816
cM42a,97.0355,97.058792,97.0765,97.041077,97.027359,97.071075,97.16716,97.031036,99.995049,100.0,97.079605,97.052536,97.1185,97.037193,97.044479,97.074783,97.069321,97.06974,97.076141,97.278152,97.255554,97.100311,97.119629,97.107109,97.072258,97.118866,97.148911,98.259293,97.074127,97.149719,97.561081,97.027802,97.251488,97.028297,97.27153,97.556244,97.111542,98.240494,97.17186,97.534302,97.518478,97.098999,97.072884,97.04483,97.096931,97.07238,97.252464,97.101944,97.109596,97.218422,96.893433,97.016792,97.543686,97.252625,97.048248,97.060455,97.274033,97.263626,97.096237,97.105469,97.080505,97.024139,97.051941,96.911636,97.488693,97.090317,97.182037,97.530624,97.152664,97.308655,97.033005,97.025925,97.031128,97.178436,97.010696,97.093689,97.114624,97.564926,97.090759,97.119797,97.03447,97.126678,97.127045,97.113983,98.203003,97.202927,97.084671,97.248001,97.234596,97.08403,97.061584,97.026245,97.15654,97.109558,97.089737,97.070221,98.830803,97.402557,97.124542,97.295395,97.433517,97.102783,99.505234,97.585152,97.38343,97.143532,97.002029,97.424454,97.075668,96.975113,96.995575,97.199989,97.008766,97.111763,97.119728,97.064606,97.081757,97.058151,97.087372,97.068558,97.048294,97.100967,97.087402,97.028137,97.126411,97.056313,97.115723,96.983643,97.242706,97.417831,97.403175,97.39045,97.16745,97.399048,96.974594,97.099754,97.106873,97.132637,97.062035,97.425934,97.42569,97.417603,97.00264,96.998596,97.104187,97.099197,97.380791,97.079041,97.082703,97.09314,97.260368,97.122307,97.245506,97.229568,97.25322,97.403183,97.095642,97.418304,97.369446
