,cM10a,cM12a,cM19a,cM20a,cM2a,cM34a,cM35a,cM3a,cM41a,cM42a,cM42b,cM44b,cM59a,cM59b,cM5a,cM7b,cM8a,cM9b,cS100a,cS103a,cS104a,cS107a,cS108a,cS109a,cS10a,cS113a,cS115a,cS116a,cS11a,cS129a,cS132a,cS142a,cS153a,cS157a,cS15a,cS162a,cS164a,cS165a,cS168a,cS172a,cS178a,cS184a,cS27b,cS28a,cS30a,cS33a,cS35a,cS37a,cS39c,cS45a,cS46a,cS4a,cS51a,cS53a,cS58a,cS60a,cS61a,cS63a,cS65a,cS66a,cS68a,cS6a,cS71a,cS71b,cS72c,cS76a,cS80a,cS83a,cS86a,cS86b,cS87a,cS88a,cS8b,cS91a,cS97a,cS99a,fM10a,fM16a,fM19a,fM21a,fM23b,fM24a,fM27b,fM29a,fM30a,fM31a,fM35a,fM40a,fM41b,fM48a,fM51a,fM54a,fM59a,fM60a,fS100a,fS101a,fS102a,fS10a,fS111a,fS117a,fS11a,fS121a,fS122a,fS128a,fS12a,fS133b,fS139a,fS13a,fS143a,fS144a,fS146a,fS148a,fS149a,fS14a,fS155a,fS157a,fS158a,fS159a,fS165a,fS170a,fS171a,fS174a,fS177a,fS190a,fS191a,fS24a,fS25a,fS34a,fS35a,fS37a,fS39a,fS41a,fS42a,fS46a,fS4a,fS50a,fS54a,fS56a,fS58a,fS62a,fS63b,fS64a,fS6a,fS70a,fS72b,fS73a,fS74a,fS79a,fS80a,fS81a,fS83a,fS84a,fS85a,fS86a,fS92a,fS93a,fS95a,fS97a,fS99a
cM10a,0,36209,36225,36229,36207,36665,77883,36229,68881,68877,36665,36213,36705,36217,36236,36218,36671,36663,36227,76606,76610,6513,20401,20403,36712,35489,6498,67476,36714,20382,65720,19867,66145,19879,76622,65716,20394,67448,77487,65721,65727,6526,6535,36213,6522,6545,77629,20746,32433,77525,36666,34896,65708,76613,36227,32428,76599,76614,32425,32426,32426,19865,36228,36682,65716,32434,77508,65721,76432,77713,36225,36221,19881,77516,19890,35482,36214,65718,6528,36712,36205,34714,36504,21354,67472,42780,6527,77488,77497,6505,6516,36212,36515,36508,36894,65022,70189,65135,42222,76617,65139,20603,67651,64981,65145,19956,36872,65138,20645,19892,19889,41665,36866,36890,36879,19854,36665,36665,19872,19857,19847,36884,36903,36493,4878,20277,36883,19877,43111,65135,65139,65135,42206,65132,19902,4865,4875,6676,19842,65136,65128,65143,36858,19889,4878,4882,65141,4876,36894,4884,76602,6663,77050,77040,76599,65123,36889,65134,65117
cM12a,36209,0,46,48,26,19742,77974,52,68294,68290,19742,28,21048,36,57,39,19732,19740,19250,76832,76837,35887,35492,35489,21055,23996,35889,68208,21057,35482,65582,35437,65830,35418,76846,65581,35485,68182,77106,65588,65596,35905,35902,34,35902,35910,77305,34524,24162,77151,17972,24282,65584,76840,19250,24151,76825,76840,24154,24155,24155,35441,19251,17986,65579,24157,77127,65585,76700,77380,47,52,35431,77137,35430,23984,20733,65582,35908,21055,38,24401,19031,36179,68203,29913,35884,77106,77107,35885,35911,45,19036,19027,19581,65749,69867,64652,29631,76843,64668,35219,67132,64376,64665,35426,20362,64658,35216,35448,35445,29927,20356,19577,19566,35585,19743,19743,35581,35588,35604,19571,19590,19122,36262,35520,19570,35447,29971,64666,64652,64655,29615,64663,35458,36272,36281,37028,35599,64655,64659,64660,20360,35443,36288,36267,64661,36253,19581,36264,76836,37016,76387,76379,76825,64650,19576,64665,64649
cM19a,36225,46,0,38,44,19748,77970,66,68295,68303,19748,46,21054,42,71,15,19738,19746,19256,76840,76833,35891,35496,35493,21061,24000,35905,68211,21063,35498,65597,35453,65833,35422,76842,65596,35501,68197,77114,65591,65611,35921,35918,26,35918,35914,77313,34540,24156,77147,17976,24298,65587,76836,19256,24157,76833,76848,24160,24161,24161,35457,19257,18002,65594,24151,77135,65588,76707,77388,65,46,35447,77145,35434,23988,20739,65597,35912,21061,44,24417,19037,36195,68218,29919,35900,77114,77115,35901,35915,39,19042,19033,19597,65764,69882,64655,29637,76839,64671,35235,67145,64391,64668,35442,20368,64673,35232,35452,35449,29933,20362,19593,19582,35599,19749,19749,35595,35602,35606,19587,19606,19128,36266,35536,19586,35463,29977,64669,64655,64658,29621,64666,35450,36276,36285,37032,35613,64670,64674,64663,20366,35459,36292,36259,64664,36269,19585,36280,76832,37032,76395,76387,76833,64665,19592,64668,64664
cM20a,36229,48,38,0,40,19752,77974,62,68302,68310,19752,42,21058,38,45,47,19742,19750,19260,76845,76838,35895,35500,35497,21065,24004,35909,68216,21067,35502,65602,35457,65838,35426,76847,65601,35505,68202,77119,65596,65616,35925,35922,38,35922,35918,77318,34544,24159,77152,17980,24302,65592,76841,19260,24160,76838,76853,24163,24164,24164,35461,19261,18006,65599,24154,77140,65593,76712,77393,45,48,35451,77150,35438,23992,20743,65602,35916,21065,54,24421,19041,36199,68223,29923,35904,77119,77120,35905,35919,49,19046,19037,19601,65769,69887,64660,29641,76844,64676,35239,67152,64396,64673,35446,20372,64678,35236,35456,35453,29936,20366,19597,19586,35605,19753,19753,35601,35608,35612,19591,19610,19132,36270,35540,19590,35467,29981,64674,64660,64663,29625,64671,35454,36280,36289,37036,35619,64675,64679,64668,20370,35463,36296,36263,64669,36273,19589,36284,76837,37036,76400,76392,76838,64670,19596,64673,64669
cM2a,36207,26,44,40,0,19740,77972,30,68292,68288,19740,26,21046,24,31,37,19730,19738,19248,76829,76834,35885,35490,35487,21053,23994,35887,68206,21055,35480,65578,35435,65828,35416,76843,65577,35483,68180,77103,65584,65592,35903,35900,32,35900,35908,77302,34522,24160,77148,17970,24280,65580,76837,19248,24149,76822,76837,24152,24153,24153,35439,19249,17984,65575,24155,77124,65581,76698,77377,61,50,35429,77134,35428,23982,20731,65578,35906,21053,36,24399,19029,36177,68201,29911,35882,77103,77104,35883,35909,43,19034,19025,19579,65747,69865,64648,29629,76840,64664,35217,67130,64372,64661,35424,20360,64654,35214,35446,35443,29925,20354,19575,19564,35583,19741,19741,35579,35586,35602,19569,19588,19120,36260,35518,19568,35445,29969,64662,64648,64651,29613,64659,35456,36270,36279,37026,35597,64651,64655,64656,20358,35441,36286,36265,64657,36251,19579,36262,76833,37014,76386,76378,76822,64646,19574,64661,64645
cM34a,36665,19742,19748,19752,19740,0,77991,19750,68909,68902,8,19746,11199,19738,19756,19741,18,10,8588,77287,77281,36198,36156,36153,11206,23879,36210,68114,11212,36152,65450,36141,65733,36134,77293,65449,36155,68098,77573,65457,65464,36226,36225,19746,36211,36216,77777,34023,17048,77607,20388,25627,65441,77297,8588,17033,77282,77283,17040,17041,17041,36129,8589,20412,65448,17039,77582,65444,76880,77850,19758,19732,36135,77589,36140,23875,11134,65450,36208,11206,19738,24468,14821,36852,68121,22914,36213,77575,77584,36207,36222,19735,14814,14825,21943,65696,69836,64346,22430,77288,64340,36417,67564,64318,64358,36520,11411,64352,36428,36148,36135,22839,11401,21935,21924,36320,13,13,36332,36311,36317,21933,21948,7745,36501,36172,21932,36151,22810,64338,64346,64349,22426,64335,36148,36501,36510,37336,36322,64348,64341,64354,11393,36147,36526,36496,64355,36500,21929,36510,77293,37334,76642,76620,77282,64344,21934,64337,64331
cM35a,77883,77974,77970,77974,77972,77991,0,77975,67086,67075,77985,77966,78036,77958,77989,77975,77981,77989,77711,33304,33292,78100,77705,77684,78041,78525,78109,68129,78049,77696,76419,77900,77578,77864,33296,76416,77700,68131,33293,76422,76421,78121,78107,77966,78107,78100,33604,78131,77983,33292,78188,78507,76403,33307,77711,77979,33308,33298,77989,77988,77988,77886,77712,78197,76424,77973,33284,76407,26532,33112,77977,77954,77894,33293,77885,78511,78003,76403,78108,78043,77970,78433,77969,77728,68152,77379,78091,33294,33279,78106,78116,77969,77963,77965,77143,77693,66685,76605,77744,33280,76597,77752,67860,76577,76592,77960,77928,76604,77748,77894,77895,77725,77922,77133,77134,78054,77992,77992,78050,78045,78055,77145,77146,77900,78032,77733,77144,77910,77403,76593,76600,76590,77743,76602,77893,78045,78054,78028,78056,76605,76594,76609,77914,77907,78050,78029,76596,78036,77129,78039,33286,78024,34056,34054,33308,76609,77132,76592,76600
cM3a,36229,52,66,62,30,19750,77975,0,68307,68289,19750,48,21054,36,21,63,19740,19748,19258,76846,76837,35907,35506,35496,21061,24017,35909,68209,21070,35489,65579,35451,65840,35425,76846,65578,35492,68183,77120,65596,65593,35925,35908,54,35908,35908,77305,34533,24176,77151,17992,24303,65592,76854,19258,24158,76839,76840,24168,24169,24169,35448,19259,18006,65587,24164,77127,65593,76713,77394,83,62,35445,77137,35444,24005,20753,65579,35914,21061,58,24422,19051,36199,68204,29920,35890,77120,77121,35905,35923,65,19042,19047,19594,65750,69868,64660,29638,76843,64676,35227,67145,64384,64662,35432,20376,64666,35224,35455,35452,29948,20363,19583,19572,35606,19751,19751,35602,35595,35625,19584,19596,19128,36270,35534,19583,35461,29978,64674,64660,64663,29636,64671,35465,36280,36289,37041,35620,64652,64667,64668,20367,35457,36288,36275,64669,36261,19587,36264,76850,37029,76401,76379,76839,64658,19582,64673,64657
cM41a,68881,68294,68295,68302,68292,68909,67086,68307,0,41,68903,68298,69456,68302,68321,68290,68899,68907,68294,67390,67412,68735,68715,68688,69463,68679,68748,42082,69465,68716,58934,68474,61647,68455,67409,58932,68720,42088,67979,58950,58952,68752,68763,68298,68761,68758,68237,68478,69270,67994,68986,69028,58930,67406,68294,69263,67403,67416,69264,69263,69263,68470,68295,69015,58944,69269,67982,58931,66519,67500,68309,68294,68472,67988,68453,68684,69082,58936,68743,69463,68288,68980,68043,68924,42097,66295,68741,67983,67974,68745,68750,68283,68052,68047,68329,61253,19795,59992,66144,67403,59984,68430,6592,58455,60000,68905,69252,59997,68430,68485,68470,66320,69252,68325,68315,68584,68910,68910,68580,68587,68581,68321,68340,69138,68664,68756,68320,68484,66223,59984,59994,59998,66133,59977,68481,68661,68659,68327,68586,59989,59985,60000,69244,68480,68682,68658,60004,68667,68319,68671,67393,68328,68142,68158,67398,59993,68326,59979,59980
cM42a,68877,68290,68303,68310,68288,68902,67075,68289,41,0,68896,68294,69447,68284,68303,68298,68892,68900,68287,67397,67407,68743,68717,68696,69454,68700,68744,42085,69463,68699,58917,68462,61644,68436,67398,58915,68703,42079,67968,58933,58935,68759,68745,68294,68743,68752,68226,68461,69262,67983,68993,69026,58913,67409,68287,69248,67406,67405,69256,69255,69255,68451,68288,69010,58927,69254,67971,58926,66524,67509,68305,68288,68460,67977,68453,68694,69087,58919,68748,69454,68284,68978,68048,68919,42088,66286,68723,67974,67977,68741,68758,68291,68043,68052,68317,61238,19798,59975,66129,67392,59979,68413,6585,58438,59983,68899,69250,59980,68413,68466,68463,66325,69243,68306,68296,68579,68903,68903,68575,68568,68588,68309,68321,69123,68648,68746,68308,68472,66214,59979,59977,59981,66132,59972,68474,68657,68666,68328,68581,59972,59968,59983,69235,68468,68666,68654,59987,68651,68312,68655,67400,68317,68145,68147,67401,59976,68307,59974,59963
