snp-dists 0.8.2,ERR10548468,ERR10548828,ERR10548867,ERR10686436,ERR10686490,ERR10686498,ERR10766445,ERR10766460,ERR10766496,ERR10766533,ERR10766635,ERR10766804,ERR10767005,ERR10767194,ERR10767195,ERR10767210,ERR10767359,ERR10767435,ERR10767721,ERR10767776,ERR3425981,ERR3426066,ERR3865258,ERR3865293,ERR3865295,ERR3865303,ERR3865323,ERR3865329,ERR3865370,ERR3865442,ERR3865445,ERR3865447,ERR3865518,ERR3865537,ERR3865576,ERR3865577,cS132a,cS162a,cS172a,cS178a,cS51a,cS72c,cS83a,fM16a,fS10a,fS11a,fS12a,fS13a,fS37a,fS39a,fS41a,fS46a,fS62a,fS63b,fS64a,fS74a,fS93a,fS97a,fS99a
ERR10548468,0,196,9,366,193,196,369,355,355,356,33,30,381,196,196,36,196,201,195,185,60,55,208,190,43,369,191,41,196,361,373,355,191,57,61,383,40,40,41,39,39,37,38,39,211,211,210,211,211,210,210,211,211,210,210,211,211,211,211
ERR10548828,196,0,193,376,39,42,379,365,365,366,197,194,391,66,66,200,42,37,41,187,204,199,214,14,187,379,37,197,14,371,383,365,37,201,205,393,204,204,205,203,203,201,202,203,57,57,56,57,57,56,56,57,57,56,56,57,57,57,57
ERR10548867,9,193,0,363,190,193,366,352,352,353,30,27,378,193,193,33,193,198,192,182,57,52,205,187,40,366,188,38,193,358,370,352,188,54,58,380,37,37,38,36,36,34,35,36,208,208,207,208,208,207,207,208,208,207,207,208,208,208,208
ERR10686436,366,376,363,0,373,376,5,239,239,240,367,364,135,376,376,370,376,381,375,365,374,369,388,370,357,51,371,367,376,15,55,239,371,371,375,137,374,374,375,373,373,371,372,373,391,391,390,391,391,390,390,391,391,390,390,391,391,391,391
ERR10686490,193,39,190,373,0,21,376,362,362,363,194,191,388,63,63,197,21,44,20,184,201,196,211,33,184,376,10,194,39,368,380,362,10,198,202,390,201,201,202,200,200,198,199,200,36,36,35,36,36,35,35,36,36,35,35,36,36,36,36
ERR10686498,196,42,193,376,21,0,379,365,365,366,197,194,391,66,66,200,0,47,23,187,204,199,214,36,187,379,19,197,42,371,383,365,19,201,205,393,204,204,205,203,203,201,202,203,39,39,38,39,39,38,38,39,39,38,38,39,39,39,39
ERR10766445,369,379,366,5,376,379,0,242,242,243,370,367,138,379,379,373,379,384,378,368,377,372,391,373,360,54,374,370,379,18,58,242,374,374,378,140,377,377,378,376,376,374,375,376,394,394,393,394,394,393,393,394,394,393,393,394,394,394,394
ERR10766460,355,365,352,239,362,365,242,0,0,1,356,353,254,365,365,359,365,370,364,354,363,358,377,359,346,242,360,356,365,234,246,18,360,360,364,256,363,363,364,362,362,360,361,362,380,380,379,380,380,379,379,380,380,379,379,380,380,380,380
ERR10766496,355,365,352,239,362,365,242,0,0,1,356,353,254,365,365,359,365,370,364,354,363,358,377,359,346,242,360,356,365,234,246,18,360,360,364,256,363,363,364,362,362,360,361,362,380,380,379,380,380,379,379,380,380,379,379,380,380,380,380
ERR10766533,356,366,353,240,363,366,243,1,1,0,357,354,255,366,366,360,366,371,365,355,364,359,378,360,347,243,361,357,366,235,247,19,361,361,365,257,364,364,365,363,363,361,362,363,381,381,380,381,381,380,380,381,381,380,380,381,381,381,381
